0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
3.400000000000000000e+01,8.700000000000000000e+01,1.600000000000000000e+02,2.310000000000000000e+02,3.680000000000000000e+02,5.410000000000000000e+02,6.530000000000000000e+02,6.730000000000000000e+02,6.730000000000000000e+02,6.730000000000000000e+02,6.730000000000000000e+02,6.730000000000000000e+02,6.730000000000000000e+02,6.730000000000000000e+02,6.730000000000000000e+02,6.730000000000000000e+02
3.400000000000000000e+01,1.500000000000000000e+02,2.940000000000000000e+02,3.670000000000000000e+02,4.530000000000000000e+02,5.610000000000000000e+02,6.640000000000000000e+02,7.650000000000000000e+02,8.140000000000000000e+02,8.140000000000000000e+02,8.140000000000000000e+02,8.140000000000000000e+02,8.140000000000000000e+02,8.140000000000000000e+02,8.140000000000000000e+02,8.140000000000000000e+02
3.700000000000000000e+01,1.020000000000000000e+02,1.590000000000000000e+02,2.560000000000000000e+02,3.530000000000000000e+02,4.200000000000000000e+02,4.770000000000000000e+02,5.660000000000000000e+02,6.040000000000000000e+02,6.250000000000000000e+02,6.360000000000000000e+02,6.360000000000000000e+02,6.360000000000000000e+02,6.360000000000000000e+02,6.360000000000000000e+02,6.360000000000000000e+02
4.300000000000000000e+01,1.160000000000000000e+02,2.080000000000000000e+02,3.570000000000000000e+02,4.080000000000000000e+02,4.460000000000000000e+02,5.110000000000000000e+02,5.830000000000000000e+02,6.520000000000000000e+02,7.020000000000000000e+02,7.860000000000000000e+02,8.240000000000000000e+02,8.650000000000000000e+02,9.050000000000000000e+02,9.050000000000000000e+02,9.050000000000000000e+02
5.400000000000000000e+01,1.710000000000000000e+02,2.410000000000000000e+02,3.530000000000000000e+02,4.890000000000000000e+02,5.320000000000000000e+02,5.500000000000000000e+02,6.160000000000000000e+02,6.400000000000000000e+02,6.400000000000000000e+02,6.400000000000000000e+02,6.400000000000000000e+02,6.400000000000000000e+02,6.400000000000000000e+02,6.400000000000000000e+02,6.400000000000000000e+02
2.900000000000000000e+01,1.680000000000000000e+02,3.390000000000000000e+02,3.810000000000000000e+02,4.680000000000000000e+02,5.360000000000000000e+02,5.740000000000000000e+02,5.860000000000000000e+02,6.040000000000000000e+02,6.360000000000000000e+02,6.360000000000000000e+02,6.360000000000000000e+02,6.360000000000000000e+02,6.360000000000000000e+02,6.360000000000000000e+02,6.360000000000000000e+02
2.400000000000000000e+01,1.040000000000000000e+02,1.840000000000000000e+02,2.880000000000000000e+02,3.390000000000000000e+02,3.740000000000000000e+02,4.150000000000000000e+02,4.490000000000000000e+02,4.520000000000000000e+02,4.520000000000000000e+02,4.520000000000000000e+02,4.520000000000000000e+02,4.520000000000000000e+02,4.520000000000000000e+02,4.520000000000000000e+02,4.520000000000000000e+02
2.400000000000000000e+01,1.300000000000000000e+02,2.510000000000000000e+02,3.240000000000000000e+02,4.170000000000000000e+02,5.300000000000000000e+02,5.770000000000000000e+02,6.160000000000000000e+02,6.920000000000000000e+02,7.110000000000000000e+02,7.230000000000000000e+02,7.310000000000000000e+02,7.530000000000000000e+02,7.530000000000000000e+02,7.530000000000000000e+02,7.530000000000000000e+02
3.100000000000000000e+01,9.500000000000000000e+01,1.590000000000000000e+02,2.090000000000000000e+02,2.400000000000000000e+02,2.850000000000000000e+02,3.070000000000000000e+02,3.320000000000000000e+02,3.800000000000000000e+02,4.370000000000000000e+02,4.810000000000000000e+02,5.100000000000000000e+02,5.100000000000000000e+02,5.100000000000000000e+02,5.100000000000000000e+02,5.100000000000000000e+02
4.600000000000000000e+01,1.390000000000000000e+02,2.120000000000000000e+02,2.730000000000000000e+02,3.550000000000000000e+02,4.540000000000000000e+02,5.160000000000000000e+02,5.630000000000000000e+02,6.420000000000000000e+02,6.690000000000000000e+02,6.690000000000000000e+02,6.690000000000000000e+02,6.690000000000000000e+02,6.690000000000000000e+02,6.690000000000000000e+02,6.690000000000000000e+02
